,generation algorithm,turn_num,L_num,L_size,L_size_std,R_num,R_size,R_size_std,boader_l,neighbor_sum,correct_path_len,turn_pos_num,dead_end_num,T_num,cross_num,straight_len_std,straight_num,gorl_depth,depth_std,depth_max,depth_mean
128,Division,14,4,72,22.3159136,8,36,2.598076211,139,12,53,21,23,19,1,97,63,52,20.81732592,74,45.82608696
129,Division,8,6,56,11.58543146,3,68,17.4610678,131,10,37,17,28,16,5,95,65,36,8.949689312,40,23.21428571
130,Division,19,8,42,7.137051212,6,62,16.86877457,147,16,57,25,23,19,1,92,66,56,23.67645812,72,37.65217391
131,Division,9,2,16,6,4,104,21.40093456,113,4,41,33,17,13,1,97,63,40,12.53479586,58,33.76470588
132,Division,9,4,78,30.31088913,5,42,8.890444308,139,9,41,21,24,20,1,84,64,40,10.66634114,40,22.25
133,Division,6,6,58,13.58512258,6,70,7.340905182,161,14,33,25,25,19,2,89,69,32,10.03992032,42,24.4
134,Division,17,10,66,11.17318218,7,38,2.969229956,193,32,57,26,24,16,3,91,67,56,13.67454041,56,28.91666667
135,Division,12,8,90,16.36879653,7,26,2.710523709,175,15,45,21,23,15,3,99,61,44,17.75659839,68,33.91304348
136,Division,10,6,70,12.13351648,4,54,10.89724736,162,12,37,25,23,17,2,93,65,36,8.354164261,40,27.65217391
137,Division,8,8,34,3.799671038,9,86,12.13911136,188,25,41,18,27,17,4,94,64,40,15.28979325,56,27.33333333
138,Division,10,4,74,25.15452246,6,42,7.895146188,133,9,45,27,22,12,4,91,63,44,11.12958978,44,26.36363636
139,Division,10,7,66,13.92692298,5,54,10.47664068,148,15,41,21,25,19,2,93,65,40,12.73382896,50,27.36
140,Division,10,6,100,23.45681611,5,12,0.8,143,11,49,14,25,19,2,100,58,48,9.237835244,50,36.32
141,Division,7,2,8,2,3,116,47.67482448,85,3,37,28,21,11,4,90,62,36,17.16189419,64,44.57142857
142,Division,13,6,40,6.394442031,5,68,12.48358923,155,11,53,20,23,17,2,90,60,52,12.66882216,52,28.60869565
143,Division,18,7,74,14.80209583,5,26,2.712931993,152,13,61,29,21,17,1,92,66,60,14.55243082,60,37.52380952
144,Division,13,2,10,1,4,102,38.40247388,89,4,49,23,19,13,2,104,56,48,12.01753105,52,30
145,Division,13,6,56,6.289320755,5,48,8.890444308,148,11,57,25,18,12,2,101,55,56,13.95229969,56,31.33333333
146,Division,14,5,42,5.851495535,5,78,16.84755175,173,14,41,22,22,18,1,98,62,40,18.07056874,70,38
147,Division,9,6,80,22.67646847,4,44,14.45683229,136,14,37,24,24,20,1,92,68,36,13.52672252,52,26.83333333
148,Division,13,5,110,18.76166304,1,2,0,103,5,49,24,21,17,1,95,61,48,17.04469249,52,31.61904762
149,Division,16,9,26,1.369869778,5,78,17.59090674,148,12,57,26,24,16,3,91,67,56,18.70754453,68,39.16666667
150,Division,8,5,42,11.8253964,5,86,18.99894734,135,10,33,15,28,16,5,92,62,32,9.234750254,36,21.07142857
151,Division,17,6,60,7.831560083,8,48,4.242640687,190,18,53,23,19,13,2,104,56,52,17.89287916,68,37.05263158
152,Division,9,6,50,11.51327736,6,78,14.59451952,166,16,33,23,24,16,3,95,65,32,8.286116233,40,23.58333333
153,Division,16,6,98,30.27466855,6,14,0.745355992,118,11,49,27,26,18,3,87,73,48,12.46913349,52,31.53846154
154,Division,10,4,78,26.88401012,6,42,2.768874621,156,15,41,28,18,14,1,93,59,40,14.38835263,56,33.44444444
155,Division,13,6,96,18.40289832,3,8,0.942809042,145,11,57,25,18,14,1,88,56,56,13.96114538,56,36.44444444
156,Division,15,6,22,2.426703296,5,90,30.01333037,128,12,49,28,19,17,0,96,62,48,26.05130246,86,43.47368421
157,Division,9,6,76,20.31966754,4,48,17.32050808,135,13,37,22,22,18,1,97,61,36,12.50322273,56,27.81818182
158,Division,14,7,56,10.74376896,7,56,6.414269806,183,19,49,22,24,18,2,94,64,48,14.30593311,60,32.41666667
159,Division,14,5,88,25.3424545,4,24,4.898979486,139,12,49,21,19,15,1,96,54,48,16.98883453,68,35.89473684
160,Division,10,3,8,0.942809042,9,112,25.34697488,139,18,41,18,28,20,3,92,68,40,20.08807139,66,36.42857143
