,generation algorithm,straights_num,turn_num,dead_end_num,T_num,cross_num,correct_path_len,turn_num_in_correct_path,border_l,neighbor_sum,L_num,L_size,L_size_std,R_num,R_size,R_size_std
162,Division,88,17,24,18,2,53,29,141,19,7,76,20.89038447,7,32,4.746642207
163,Division,88,6,27,17,4,33,25,167,17,7,92,15.22618582,7,36,4.882287854
164,Division,101,10,24,18,2,49,16,182,17,5,80,13.20605922,10,32,1.833030278
165,Division,104,17,22,20,0,65,15,162,19,10,72,11.03449138,4,24,4.242640687
166,Division,95,10,24,18,2,41,22,104,5,5,18,1.496662955,2,102,47
167,Division,88,18,27,19,3,53,24,135,12,8,88,23.06512519,5,20,2.529822128
168,Division,92,16,24,18,2,49,25,153,16,6,52,9.775252199,7,60,13.6785248
169,Division,97,9,20,12,3,41,29,152,10,5,92,16.65653025,6,28,5.120763832
170,Division,92,15,24,22,0,53,23,147,15,8,94,20.65036319,4,14,0.866025404
171,Division,92,14,28,20,3,57,18,184,18,7,64,10.89467198,9,40,4.499657051
172,Division,97,18,22,16,2,57,24,170,15,5,58,14.22111107,9,46,6.935327349
173,Division,87,11,23,17,2,41,32,92,10,6,16,0.942809042,4,104,41.56921938
174,Division,102,10,21,15,2,37,21,145,8,4,42,14.72243186,4,82,12.11404144
175,Division,96,15,20,16,1,41,28,118,12,6,102,31.76476035,5,18,3.2
176,Division,95,10,22,18,1,45,25,116,11,7,82,15.87193647,1,34,0
177,Division,98,9,24,16,3,41,20,95,4,3,110,38.27386692,4,10,0.866025404
178,Division,97,14,23,15,3,49,23,150,17,9,90,14.29840706,3,22,7.542472333
179,Division,91,13,24,16,3,45,27,103,9,5,84,29.6,3,32,10.87300429
180,Division,91,14,22,16,2,45,30,127,11,5,82,27.81078927,5,34,6.997142274
181,Division,99,11,19,13,2,41,28,100,10,3,12,1.632993162,6,108,34.89030429
182,Division,91,10,23,19,1,49,27,140,10,4,54,13.51850583,6,58,10.41899974
183,Division,95,10,21,17,1,41,27,145,15,7,104,19.79486637,4,16,3.464101615
184,Division,90,9,25,21,1,37,24,168,22,4,30,9.526279442,9,94,13.02229807
185,Division,106,7,23,17,2,41,13,141,12,5,22,1.959591794,4,98,23.68016047
186,Division,98,11,21,15,2,41,25,117,9,4,96,35.80502758,4,24,3.741657387
187,Division,93,10,23,17,2,41,26,123,9,4,16,2,5,104,35.61123418
188,Division,98,12,23,17,2,49,21,163,15,4,62,18.88782677,9,50,5.230489909
189,Division,96,11,21,13,3,37,28,153,12,4,24,1.414213562,6,100,17.07499797
190,Division,97,13,24,16,3,49,21,172,15,8,36,2.397915762,7,76,16.10171749
191,Division,87,14,25,21,1,41,27,122,11,5,90,30.03997337,5,30,4.5607017
192,Division,92,7,25,21,1,37,22,150,18,5,12,0.8,8,112,23.2594067
